City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,namibe,-15.1961,12.1522,297.44,80,100,1.47,AO,1680979040
85,imeni poliny osipenko,52.4201,136.4853,261.93,98,61,0.48,RU,1680979040
86,cape town,-33.9258,18.4232,289.38,70,40,5.14,ZA,1680978837
87,mar del plata,-38.0023,-57.5575,299.16,61,0,6.17,AR,1680978851
88,zhangye,38.9342,100.4517,283.03,15,33,2.81,CN,1680978906
89,port lincoln,-34.7333,135.8667,288.68,74,78,4.23,AU,1680978973
90,veraval,20.9,70.3667,299.28,68,1,5.55,IN,1680978900
91,salalah,17.0151,54.0924,301.2,78,40,2.57,OM,1680978841
92,cabo san lucas,22.8909,-109.9124,302.76,44,0,4.12,MX,1680978718
93,shchors,51.8186,31.945,283.16,74,100,3.29,UA,1680979042
94,thompson,55.7435,-97.8558,278.24,42,0,3.6,CA,1680978880
95,london,51.5085,-0.1257,286.43,67,91,5.66,GB,1680978538
96,airai,-8.9266,125.4092,288.04,96,100,0.45,TL,1680978929
97,sungaipenuh,-2.0833,101.3833,291.41,97,100,0.69,ID,1680979043
98,bluff,-46.6,168.3333,281.36,85,93,3.53,NZ,1680978859
99,avarua,-21.2078,-159.775,300.18,83,75,4.12,CK,1680978864
100,bar harbor,44.3876,-68.2039,280.71,30,0,5.14,US,1680978905
101,waipawa,-41.4122,175.5153,284.11,89,100,2.94,NZ,1680979044
102,saint-philippe,-21.3585,55.7679,298.92,81,100,4.09,RE,1680978876
103,dzhankoy,45.7167,34.4,279.68,93,9,3.6,UA,1680979044
104,kapaa,22.0752,-159.319,297.33,82,75,6.17,US,1680978845
105,nikolskoye,59.7035,30.7861,280.09,97,18,1.86,RU,1680978836
106,kamaishi,39.2667,141.8833,276.94,75,100,4.13,JP,1680978963
107,mehamn,71.0357,27.8492,274.12,86,100,8.23,NO,1680979045
108,pisco,-13.7,-76.2167,299.18,78,20,4.63,PE,1680979045
109,bambous virieux,-20.3428,57.7575,297.71,94,75,4.63,MU,1680978837
110,maumere,-8.6199,122.2111,298.93,79,100,2.25,ID,1680979045
111,qaanaaq,77.484,-69.3632,250.92,77,0,2.73,GL,1680978837
112,mataura,-46.1927,168.8643,277.89,96,100,1.58,NZ,1680978838
113,santiago,-33.4569,-70.6483,304.98,17,0,3.09,CL,1680979046
114,salisbury,51.0693,-1.7957,284.58,75,76,4.12,GB,1680979046
115,port elizabeth,-33.918,25.5701,291.31,85,100,3.09,ZA,1680978848
116,marrakesh,31.6315,-8.0083,294.19,46,75,6.69,MA,1680978983
117,cap malheureux,-19.9842,57.6142,297.3,77,100,2.24,MU,1680979047
118,guayaramerin,-10.8368,-65.3614,304.18,62,40,4.12,BO,1680979047
119,guatire,10.4762,-66.5427,303.32,50,100,2.58,VE,1680979047
120,bosaso,11.2842,49.1816,300.67,76,6,0.27,SO,1680979047
121,new norfolk,-42.7826,147.0587,280.87,75,97,1.79,AU,1680978838
122,ostrovnoy,68.0531,39.5131,274.76,98,100,8.15,RU,1680978936
123,simao,22.7886,100.9748,292.47,44,7,0.44,CN,1680979048
124,srednekolymsk,67.45,153.6833,250.45,100,99,2.61,RU,1680978907
125,vila franca do campo,37.7167,-25.4333,288.38,63,100,4.06,PT,1680978885
126,korla,41.7597,86.1469,284.96,21,0,0.85,CN,1680978929
127,east london,-33.0153,27.9116,292.67,100,100,3.09,ZA,1680978843
128,belaya gora,68.5333,146.4167,246.26,100,92,2.03,RU,1680979049
129,norman wells,65.282,-126.8329,266.17,63,75,0.0,CA,1680978868
130,sao joao da barra,-21.6403,-41.0511,305.2,85,100,5.46,BR,1680978892
131,ca mau,9.1769,105.15,299.33,79,25,2.4,VN,1680978857
132,nhulunbuy,-12.2333,136.7667,298.49,100,75,0.0,AU,1680978957
133,iwanai,42.9744,140.5089,276.22,85,100,3.69,JP,1680979049
134,lufilufi,-13.8745,-171.5986,296.03,78,37,9.49,WS,1680978958
135,lavrentiya,65.5833,-171.0,251.55,87,100,2.47,RU,1680978898
136,luanda,-8.8368,13.2343,301.15,74,75,4.12,AO,1680978768
137,hobart,-42.8794,147.3294,281.07,83,40,9.26,AU,1680978552
138,shenzhen,22.5455,114.0683,293.78,86,56,2.64,CN,1680979006
139,alofi,-19.0595,-169.9187,297.09,94,40,1.03,NU,1680978839
140,dalvik,65.9702,-18.5286,284.11,81,1,5.31,IS,1680979051
141,gornopravdinsk,60.05,69.9,269.07,90,80,2.68,RU,1680978950
142,cabrobo,-8.5142,-39.31,307.28,36,35,6.19,BR,1680979051
143,evensk,61.95,159.2333,255.73,80,9,3.74,RU,1680979051
144,nandurbar,21.3667,74.25,302.73,33,17,3.23,IN,1680979052
145,kavieng,-2.5744,150.7967,298.12,86,100,1.72,PG,1680978877
146,nalut,30.3333,10.85,291.3,43,18,6.75,LY,1680979052
147,dingle,10.9995,122.6711,297.01,88,100,3.3,PH,1680978903
148,beringovskiy,63.05,179.3167,255.48,95,100,1.64,RU,1680978843
149,tura,25.5198,90.2201,296.43,35,100,1.43,IN,1680978897
150,acajutla,13.5928,-89.8275,304.66,51,0,5.53,SV,1680978896
151,bredasdorp,-34.5322,20.0403,288.49,65,100,0.2,ZA,1680978877
152,la ronge,55.1001,-105.2842,278.29,42,20,4.12,CA,1680978941
153,biak,-0.9131,122.8766,297.7,78,100,1.94,ID,1680979053
154,turbat,26.0023,63.044,299.43,34,41,1.13,PK,1680979053
155,victoria,22.2855,114.1577,293.84,82,87,1.34,HK,1680978863
156,peleduy,59.6289,112.7406,256.68,95,100,2.59,RU,1680979053
157,qeshm,26.9581,56.2719,296.09,72,100,1.68,IR,1680979054
158,amahai,-3.3333,128.9167,298.68,83,100,2.41,ID,1680979054
159,wanxian,30.8039,108.3897,288.6,70,100,0.99,CN,1680979054
160,ancud,-41.8697,-73.8203,287.98,56,77,1.19,CL,1680978839
